Image URL,Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion
https://i.postimg.cc/J7dTtxcS/image5.png,"A tropical beach scene in Guam with clear blue water and palm trees, chosen for its relaxing island vibe.",USA,Sunny,Afternoon,Summer,Relaxing,Happiness
https://i.postimg.cc/xjtdmJc7/Luxury-Holidays-Zermatt-Switzerland.jpg,"A snowy alpine village in Zermatt, Switzerland, chosen for its picturesque winter scenery and cozy mountain atmosphere.",Switzerland,Snowy,Morning,Winter,Relaxing,Nostalgia
https://i.postimg.cc/BZYq6rVB/Maldives.jpg,"A stunning tropical beach in the Maldives with turquoise water and white sand, chosen for its serene and relaxing atmosphere.",Maldives,Sunny,Afternoon,Summer,Relaxing,Happiness
https://i.postimg.cc/6qgJ0XsQ/Marburg-Germany.jpg,"A charming view of Marburg’s historic town with old buildings and a river, chosen for its medieval European atmosphere.",Germany,Cloudy,Afternoon,Spring,Sightseeing,Nostalgia
https://i.postimg.cc/GtZVDxYr/Must-See-Places-in-Costa-Rica-Not-a-Worker-Bee.jpg,"A lush tropical rainforest scene in Costa Rica, chosen for its vibrant nature and adventure-filled environment.",Costa Rica,Cloudy,Morning,Summer,Hiking,Adventure
https://i.postimg.cc/fWGMmcMK/North-Korea-Beyond-Closed-Borders.jpg,"A cityscape in North Korea showing urban buildings and streets, chosen for its unique and controlled urban environment.",North Korea,Clear,Afternoon,Summer,Sightseeing,Curiosity
https://i.postimg.cc/Gmq07G1b/oslo.jpg,"A scenic view of Oslo with modern buildings and waterfront, chosen for its calm urban and natural combination.",Norway,Cloudy,Afternoon,Spring,Sightseeing,Curiosity
https://i.postimg.cc/s2qNqJ6N/Stockholm-Sweden.jpg,"A picturesque view of Stockholm’s waterfront and historic buildings, chosen for its classic Scandinavian charm.",Sweden,Cloudy,Afternoon,Spring,Sightseeing,Nostalgia
https://i.postimg.cc/VkNZNh24/The-Amazon-Jungle-How-To-Pick-The-Best-Rainforest-Tour.jpg,"A dense green rainforest scene from the Amazon Jungle, chosen for its wild, lush vegetation and sense of natural adventure.",Brazil,Cloudy,Afternoon,Spring,Exploring,Adventure
https://i.postimg.cc/63CYSxGn/Tokyo-painted-by-Memory-Magnets-AI.jpg,"A stylized cityscape of Tokyo with bright lights and futuristic vibes, chosen for its energetic urban and modern atmosphere.",Japan,Clear,Evening,Winter,Sightseeing,Excitement
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
