https://unsplash.com/photos/xmUdzDu15pM,Walking through the endless vermilion torii gates of Fushimi Inari Shrine.,Japan,Sunny,Morning,Spring,Hiking,Curiosity
https://unsplash.com/photos/vF0l0bqLRKY,Iconic blue-domed church overlooking the caldera and sea.,Greece,Sunny,Afternoon,Summer,Sightseeing,Romance
https://unsplash.com/photos/PO7CGnoDFUI,Aerial view of the ancient Incan citadel of Machu Picchu surrounded by mountains.,Peru,Cloudy,Morning,Spring,Hiking,Adventure
https://unsplash.com/photos/T4hLizbiYdQ,Moraine Lake with turquoise waters reflecting the snow-capped Valley of the Ten Peaks.,Canada,Sunny,Afternoon,Summer,Sightseeing,Happiness
https://unsplash.com/photos/_l4EuwJ-qPs,The Treasury (Al-Khazneh) carved into the red sandstone cliff face.,Jordan,Sunny,Afternoon,Fall,Sightseeing,Curiosity
https://unsplash.com/photos/oyEc14c1uCg,Bright neon lights and bustling crowds in Times Square at night.,USA,Not Clear,Evening,Winter,Sightseeing,Excitement
https://unsplash.com/photos/IGaHJutSeBI,Aerial view of a pristine white sand beach and turquoise lagoon.,Maldives,Sunny,Afternoon,Spring,Relaxing,Happiness
https://unsplash.com/photos/qyBkghg5VTw,The Taj Mahal mausoleum captured at sunrise with dramatic clouds.,India,Cloudy,Morning,Not Clear,Sightseeing,Nostalgia
https://images.unsplash.com/photo-1502602898657-3e91760cbb34,"Paris at sunset with the Eiffel Tower illuminated against a golden sky. The City of Light embodies romance, culture, and timeless elegance.",France,Sunny,Evening,Spring,Sightseeing,Romance
https://unsplash.com/photos/northern-lights-over-snow-capped-mountian-LtnPejWDSAY,The Aurora Borealis (Northern Lights) illuminating the night sky over a mountain.,Iceland,Not Clear,Evening,Winter,Sightseeing,Excitement
